AU, blendshape, value
,,
AU, blendshape, value
20,Jaw_Right,0.05514394 
20,Jaw_Left,1.401298E-45 
20,Jaw_Forward,0 
20,Jaw_Open,3.687187E-11 
20,Mouth_Ape_Shape,1.401298E-45 
20,Mouth_Upper_Right,0.06757209 
20,Mouth_Upper_Left,9.809089E-45 
20,Mouth_Lower_Right,0.07567132 
20,Mouth_Lower_Left,4.203895E-45 
20,Mouth_Upper_Overturn,1.401298E-45 
20,Mouth_Lower_Overturn,1.401298E-45 
20,Mouth_Pout,0.1360939 
20,Mouth_Smile_Right,1.401298E-45 
20,Mouth_Smile_Left,1.401298E-45 
20,Mouth_Sad_Right,0.7453864 
20,Mouth_Sad_Left,0.7796576 
20,Cheek_Puff_Right,0.0245062 
20,Cheek_Puff_Left,0.3727778 
20,Cheek_Suck,0 
20,Mouth_Upper_UpRight,1.401298E-45 
20,Mouth_Upper_UpLeft,1.401298E-45 
20,Mouth_Lower_DownRight,1.401298E-45 
20,Mouth_Lower_DownLeft,1.401298E-45 
20,Mouth_Upper_Inside,0 
20,Mouth_Lower_Inside,0.170497 
20,Mouth_Lower_Overlay,0.6221518 
20,Tongue_LongStep1,1.401298E-45 
20,Tongue_Left,0 
20,Tongue_Right,1.401298E-45 
20,Tongue_Up,0 
20,Tongue_Down,0 
20,Tongue_Roll,1.401298E-45 
20,Tongue_LongStep2,1.401298E-45 
20,Tongue_UpRight_Morph,0 
20,Tongue_UpLeft_Morph,0 
20,Tongue_DownRight_Morph,0 
20,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
23,Jaw_Right,0.02757913 
23,Jaw_Left,1.401298E-45 
23,Jaw_Forward,0 
23,Jaw_Open,2.2471E-39 
23,Mouth_Ape_Shape,0 
23,Mouth_Upper_Right,0.04288331 
23,Mouth_Upper_Left,6.048116E-18 
23,Mouth_Lower_Right,0.01855144 
23,Mouth_Lower_Left,3.081123E-17 
23,Mouth_Upper_Overturn,1.401298E-45 
23,Mouth_Lower_Overturn,0 
23,Mouth_Pout,0.9516464 
23,Mouth_Smile_Right,0 
23,Mouth_Smile_Left,0 
23,Mouth_Sad_Right,2.143374E-17 
23,Mouth_Sad_Left,1.894678E-16 
23,Cheek_Puff_Right,0.6326622 
23,Cheek_Puff_Left,0.7990296 
23,Cheek_Suck,0.1453996 
23,Mouth_Upper_UpRight,9.065774E-24 
23,Mouth_Upper_UpLeft,1.783741E-21 
23,Mouth_Lower_DownRight,1.401298E-45 
23,Mouth_Lower_DownLeft,1.401298E-45 
23,Mouth_Upper_Inside,0 
23,Mouth_Lower_Inside,0 
23,Mouth_Lower_Overlay,0 
23,Tongue_LongStep1,1.401298E-45 
23,Tongue_Left,0 
23,Tongue_Right,0 
23,Tongue_Up,0 
23,Tongue_Down,0 
23,Tongue_Roll,1.401298E-45 
23,Tongue_LongStep2,1.401298E-45 
23,Tongue_UpRight_Morph,0 
23,Tongue_UpLeft_Morph,0 
23,Tongue_DownRight_Morph,0 
23,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
26,Jaw_Right,1.401298E-45 
26,Jaw_Left,0.05637825 
26,Jaw_Forward,0 
26,Jaw_Open,0.1632079 
26,Mouth_Ape_Shape,0 
26,Mouth_Upper_Right,1.401298E-45 
26,Mouth_Upper_Left,0.07669239 
26,Mouth_Lower_Right,1.401298E-45 
26,Mouth_Lower_Left,0.0863986 
26,Mouth_Upper_Overturn,1.401298E-45 
26,Mouth_Lower_Overturn,1.401298E-45 
26,Mouth_Pout,0.1881424 
26,Mouth_Smile_Right,0 
26,Mouth_Smile_Left,0 
26,Mouth_Sad_Right,0.3665462 
26,Mouth_Sad_Left,0.4738864 
26,Cheek_Puff_Right,0.02379083 
26,Cheek_Puff_Left,0.1878183 
26,Cheek_Suck,1.401298E-45 
26,Mouth_Upper_UpRight,1.401298E-45 
26,Mouth_Upper_UpLeft,1.401298E-45 
26,Mouth_Lower_DownRight,1.401298E-45 
26,Mouth_Lower_DownLeft,1.401298E-45 
26,Mouth_Upper_Inside,0 
26,Mouth_Lower_Inside,1.401298E-45 
26,Mouth_Lower_Overlay,0 
26,Tongue_LongStep1,0.4367704 
26,Tongue_Left,0 
26,Tongue_Right,0 
26,Tongue_Up,0 
26,Tongue_Down,0 
26,Tongue_Roll,0.1627005 
26,Tongue_LongStep2,1.401298E-45 
26,Tongue_UpRight_Morph,0 
26,Tongue_UpLeft_Morph,0 
26,Tongue_DownRight_Morph,0 
26,Tongue_DownLeft_Morph,0 
,,
