,Subject number,Expression,Eye_Left_Blink,Eye_Left_Wide,Eye_Left_Right,Eye_Left_Left,Eye_Left_Up,Eye_Left_Down,Eye_Right_Blink,Eye_Right_Wide,Eye_Right_Right,Eye_Right_Left,Eye_Right_Up,Eye_Right_Down,Eye_Frown,Eye_Left_Squeeze,Eye_Right_Squeeze,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_UpRight,Mouth_Upper_UpLeft,Mouth_Lower_DownRight,Mouth_Lower_DownLeft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_UpRight_Morph,Tongue_UpLeft_Morph,Tongue_DownRight_Morph,Tongue_DownLeft_Morph
16,0,Neutral,0.0,0.02162476,0.0,0.1335515,0.02162476,0.09934398,0.0,0.02162476,0.0,0.1335515,0.02162476,0.09934398,0,0.0,0.0,1.401298e-45,0.04126197,1.401298e-45,1.401298e-45,1.401298e-45,0.1177427,1.401298e-45,0.128271,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.05468322,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
17,0,Neutral,0.0,0.01424414,0.0,0.1333639,0.01424414,0.09811888,0.0,0.01424414,0.0,0.1333639,0.01424414,0.09811888,0,0.0,0.0,1.401298e-45,0.03796957,1.401298e-45,1.401298e-45,1.401298e-45,0.1205967,1.401298e-45,0.1317405,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.05375901,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
18,0,Neutral,0.0,0.01194425,0.0,0.1329724,0.01194425,0.09684014,0.0,0.01194425,0.0,0.1329724,0.01194425,0.09684014,0,0.0,0.0,1.401298e-45,0.03864069,1.401298e-45,1.401298e-45,1.401298e-45,0.12202,1.401298e-45,0.1334353,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.06364604,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
19,0,Neutral,0.0,0.01194425,0.0,0.1329724,0.01194425,0.0933659,0.0,0.01194425,0.0,0.1329724,0.01194425,0.0933659,0,0.0,0.0,1.401298e-45,0.03864069,1.401298e-45,1.401298e-45,1.401298e-45,0.12202,1.401298e-45,0.1334353,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.06364604,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
20,0,Neutral,0.0,0.07404558,0.0,0.1661053,0.07404558,0.1427159,0.0,0.07404558,0.0,0.1661053,0.07404558,0.1427159,0,0.0,0.0,0.0169437,3.831227e-09,0.03463487,1.401298e-45,1.401298e-45,0.2307724,1.401298e-45,0.2426697,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
21,0,Neutral,0.0,0.07404558,0.0,0.1661053,0.07404558,0.1438438,0.0,0.07404558,0.0,0.1661053,0.07404558,0.1438438,0,0.0,0.0,0.0169437,3.831227e-09,0.03463487,1.401298e-45,1.401298e-45,0.2307724,1.401298e-45,0.2426697,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
22,0,Neutral,0.0,0.05231939,0.0,0.1655352,0.05231939,0.1433315,0.0,0.05231939,0.0,0.1655352,0.05231939,0.1433315,0,0.0,0.0,0.02424147,9.578067e-10,0.04115649,1.401298e-45,1.401298e-45,0.238052,1.401298e-45,0.2527657,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
23,0,Neutral,0.0,0.05231939,0.0,0.1655352,0.05231939,0.1447293,0.0,0.05231939,0.0,0.1655352,0.05231939,0.1447293,0,0.0,0.0,0.02424147,9.578067e-10,0.04115649,1.401298e-45,1.401298e-45,0.238052,1.401298e-45,0.2527657,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
24,0,Neutral,0.0,0.05439256,0.0,0.1658076,0.05439256,0.1447822,0.0,0.05439256,0.0,0.1658076,0.05439256,0.1447822,0,0.0,0.0,0.0193377,2.394517e-10,0.04816093,1.401298e-45,1.401298e-45,0.2355553,1.401298e-45,0.247565,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
25,0,Neutral,0.0,0.06700612,0.0,0.141088,0.06700612,0.06954224,0.0,0.06700612,0.0,0.141088,0.06700612,0.06954224,0,0.0,0.0,0.03861123,1.401298e-45,0.1916663,1.401298e-45,1.401298e-45,0.2067422,1.401298e-45,0.2232558,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.05116039,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
