,Eye_Left_Blink,Eye_Left_Wide,Eye_Left_Right,Eye_Left_Left,Eye_Left_Up,Eye_Left_Down,Eye_Right_Blink,Eye_Right_Wide,Eye_Right_Right,Eye_Right_Left,Eye_Right_Up,Eye_Right_Down,Eye_Frown,Eye_Left_Squeeze,Eye_Right_Squeeze,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_UpRight,Mouth_Upper_UpLeft,Mouth_Lower_DownRight,Mouth_Lower_DownLeft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_UpRight_Morph,Tongue_UpLeft_Morph,Tongue_DownRight_Morph,Tongue_DownLeft_Morph
10,0.0,0.1018807,0.0,0.01880142,0.1018807,0.1001699,0.0,0.1018807,0.0,0.01880142,0.1018807,0.1001699,0,0.0,0,0.0,0.07057673,0.0,0.03381172,0.0,0.0,0.07849977,0.0,0.1245435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,0.0,0.084858,0.0,0.01874596,0.084858,0.1016462,0.0,0.084858,0.0,0.01874596,0.084858,0.1016462,0,0.0,0,0.0,0.08449262,0.0,0.02747024,0.0,0.0,0.07945745,0.0,0.1294605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,0.0,0.084858,0.0,0.01874596,0.084858,0.1019681,0.0,0.084858,0.0,0.01874596,0.084858,0.1019681,0,0.0,0,0.0,0.08449262,0.0,0.02747024,0.0,0.0,0.07945745,0.0,0.1294605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,0.0,0.08567473,0.02272338,0.0,0.08567473,0.1613922,0.0,0.08567473,0.02272338,0.0,0.08567473,0.1613922,0,0.0,0,0.0,0.08658129,0.0,0.02999731,0.0,0.0,0.07867642,0.0,0.1294674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,0.0,0.08567473,0.02272338,0.0,0.08567473,0.1645381,0.0,0.08567473,0.02272338,0.0,0.08567473,0.1645381,0,0.0,0,0.0,0.08658129,0.0,0.02999731,0.0,0.0,0.07867642,0.0,0.1294674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,0.0,0.09732696,0.02193022,0.0,0.09732696,0.1669452,0.0,0.09732696,0.02193022,0.0,0.09732696,0.1669452,0,0.0,0,0.0,0.08258901,0.0,0.03275871,0.0,0.0,0.08072108,0.0,0.1316229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,0.0,0.1105732,0.02199697,0.0,0.1105732,0.165021,0.0,0.1105732,0.02199697,0.0,0.1105732,0.165021,0,0.0,0,0.0,0.07762074,0.0,0.0340443,0.0,0.0,0.07866378,0.0,0.1277199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,0.0,0.1105732,0.02199697,0.0,0.1105732,0.1665222,0.0,0.1105732,0.02199697,0.0,0.1105732,0.1665222,0,0.0,0,0.0,0.07762074,0.0,0.0340443,0.0,0.0,0.07866378,0.0,0.1277199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,0.0,0.09144877,0.02194721,0.0,0.09144877,0.1628222,0.0,0.09144877,0.02194721,0.0,0.09144877,0.1628222,0,0.0,0,0.0,0.08105709,0.0,0.0276894,0.0,0.0,0.07502124,0.0,0.1242189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,0.0,0.09144877,0.02194721,0.0,0.09144877,0.1617091,0.0,0.09144877,0.02194721,0.0,0.09144877,0.1617091,0,0.0,0,0.0,0.08105709,0.0,0.0276894,0.0,0.0,0.07502124,0.0,0.1242189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
