Emotion,Blendshape,value
Surprise,Mouth_Sad_Right,1.401298E-45 
Surprise,Mouth_Sad_Left,1.725868E-17 
Surprise,Cheek_Puff_Right,1.401298E-45 
Surprise,Cheek_Puff_Left,1.401298E-45 
Surprise,Cheek_Suck,1.401298E-45 
Surprise,Mouth_Upper_UpRight,0.319931 
Surprise,Mouth_Upper_UpLeft,0.3108526 
Surprise,Mouth_Lower_DownRight,1.401298E-45 
Surprise,Mouth_Lower_DownLeft,1.401298E-45 
Surprise,Mouth_Upper_Inside,1.401298E-45 
Surprise,Mouth_Lower_Inside,1.401298E-45 
Surprise,Mouth_Lower_Overlay,1.401298E-45 
Surprise,Tongue_LongStep1,0.8577386 
Surprise,Tongue_Left,1.401298E-45 
Surprise,Tongue_Right,1.401298E-45 
Surprise,Tongue_Up,1.401298E-45 
Surprise,Tongue_Down,1.401298E-45 
Surprise,Tongue_Roll,2.619154E-29 
Surprise,Tongue_LongStep2,2.85991E-41 
Surprise,Tongue_UpRight_Morph,0 
Surprise,Tongue_UpLeft_Morph,0 
Surprise,Tongue_DownRight_Morph,0 
Surprise,Tongue_DownLeft_Morph,0 
